year,temperature_c,anomaly_c,period,complete,days_observed,days_expected,rank
1864,13.647,-0.764,historical,True,183,183,138.000
1865,15.818,1.406,historical,True,183,183,23.000
1866,14.080,-0.332,historical,True,183,183,110.000
1867,14.485,0.074,historical,True,183,183,83.000
1868,15.802,1.390,historical,True,183,183,25.000
1869,14.698,0.286,historical,True,183,183,69.000
1870,14.682,0.270,historical,True,183,183,71.000
1871,14.399,-0.012,historical,True,183,183,86.000
1872,14.340,-0.071,historical,True,183,183,92.000
1873,14.402,-0.009,historical,True,183,183,85.000
1874,14.606,0.195,historical,True,183,183,72.000
1875,15.105,0.694,historical,True,183,183,50.000
1876,13.949,-0.462,historical,True,183,183,119.000
1877,14.037,-0.374,historical,True,183,183,113.000
1878,14.274,-0.138,historical,True,183,183,97.000
1879,13.100,-1.312,historical,True,183,183,159.000
1880,14.000,-0.412,historical,True,183,183,115.000
1881,14.207,-0.205,historical,True,183,183,101.000
1882,13.237,-1.175,historical,True,183,183,155.000
1883,13.535,-0.876,historical,True,183,183,144.000
1884,14.030,-0.381,historical,True,183,183,114.000
1885,14.142,-0.269,historical,True,183,183,108.000
1886,14.523,0.111,historical,True,183,183,80.000
1887,13.875,-0.536,historical,True,183,183,126.000
1888,13.440,-0.972,historical,True,183,183,147.000
1889,13.825,-0.586,historical,True,183,183,127.000
1890,13.462,-0.949,historical,True,183,183,145.000
1891,13.324,-1.088,historical,True,183,183,151.000
1892,14.500,0.088,historical,True,183,183,82.000
1893,15.198,0.787,historical,True,183,183,44.000
1894,13.939,-0.472,historical,True,183,183,120.000
1895,14.936,0.525,historical,True,183,183,61.000
1896,13.080,-1.331,historical,True,183,183,160.000
1897,14.137,-0.274,historical,True,183,183,109.000
1898,14.169,-0.243,historical,True,183,183,106.000
1899,14.192,-0.220,historical,True,183,183,103.000
1900,14.361,-0.050,historical,True,183,183,90.000
1901,14.394,-0.017,historical,True,183,183,88.000
1902,13.551,-0.861,historical,True,183,183,142.000
1903,13.134,-1.278,historical,True,183,183,158.000
1904,15.163,0.752,historical,True,183,183,46.000
1905,14.527,0.115,historical,True,183,183,78.000
1906,14.231,-0.181,historical,True,183,183,100.000
1907,13.719,-0.692,historical,True,183,183,133.000
1908,13.899,-0.512,historical,True,183,183,124.000
1909,13.355,-1.057,historical,True,183,183,149.000
1910,12.985,-1.426,historical,True,183,183,161.000
1911,15.405,0.994,historical,True,183,183,35.000
1912,12.696,-1.716,historical,True,183,183,162.000
1913,13.165,-1.247,historical,True,183,183,157.000
1914,13.536,-0.875,historical,True,183,183,143.000
1915,13.905,-0.507,historical,True,183,183,123.000
1916,13.270,-1.142,historical,True,183,183,154.000
1917,14.595,0.184,historical,True,183,183,74.000
1918,13.974,-0.438,historical,True,183,183,117.000
1919,13.896,-0.515,historical,True,183,183,125.000
1920,14.335,-0.076,historical,True,183,183,94.000
1921,14.976,0.564,historical,True,183,183,59.000
1922,13.624,-0.787,historical,True,183,183,140.000
1923,14.069,-0.342,historical,True,183,183,111.000
1924,13.796,-0.615,historical,True,183,183,131.000
1925,13.769,-0.643,historical,True,183,183,132.000
1926,13.979,-0.432,historical,True,183,183,116.000
1927,14.307,-0.104,historical,True,183,183,95.000
1928,14.730,0.318,historical,True,183,183,67.000
1929,14.760,0.348,historical,True,183,183,66.000
1930,14.395,-0.016,historical,True,183,183,87.000
1931,13.707,-0.705,historical,True,183,183,135.000
1932,14.338,-0.074,historical,True,183,183,93.000
1933,14.345,-0.067,historical,True,183,183,91.000
1934,15.373,0.962,historical,True,183,183,38.000
1935,14.523,0.112,historical,True,183,183,79.000
1936,13.922,-0.490,historical,True,183,183,121.000
1937,14.820,0.408,historical,True,183,183,65.000
1938,13.713,-0.698,historical,True,183,183,134.000
1939,13.651,-0.761,historical,True,183,183,137.000
1940,13.801,-0.611,historical,True,183,183,130.000
1941,13.325,-1.086,historical,True,183,183,150.000
1942,14.869,0.458,historical,True,183,183,64.000
1943,15.177,0.766,historical,True,183,183,45.000
1944,15.022,0.610,historical,True,183,183,55.000
1945,15.879,1.467,historical,True,183,183,21.000
1946,15.007,0.596,historical,True,183,183,56.000
1947,17.070,2.659,historical,True,183,183,5.000
1948,14.197,-0.214,historical,True,183,183,102.000
1949,15.959,1.548,historical,True,183,183,16.000
1950,15.470,1.058,historical,True,183,183,33.000
1951,14.305,-0.106,historical,True,183,183,96.000
1952,15.526,1.115,historical,True,183,183,29.000
1953,14.971,0.560,historical,True,183,183,60.000
1954,13.626,-0.786,historical,True,183,183,139.000
1955,14.168,-0.244,historical,True,183,183,107.000
1956,13.552,-0.859,historical,True,183,183,141.000
1957,13.699,-0.712,historical,True,183,183,136.000
1958,14.583,0.171,historical,True,183,183,76.000
1959,15.259,0.848,historical,True,183,183,42.000
1960,13.970,-0.441,historical,True,183,183,118.000
1961,15.037,0.626,historical,True,183,183,54.000
1962,14.187,-0.224,historical,True,183,183,104.000
1963,14.378,-0.034,historical,True,183,183,89.000
1964,15.443,1.032,historical,True,183,183,34.000
1965,13.316,-1.096,historical,True,183,183,152.000
1966,14.605,0.193,historical,True,183,183,73.000
1967,14.248,-0.163,historical,True,183,183,98.000
1968,13.821,-0.591,historical,True,183,183,128.000
1969,14.235,-0.177,historical,True,183,183,99.000
1970,14.171,-0.241,historical,True,183,183,105.000
1971,15.078,0.667,historical,True,183,183,52.000
1972,13.171,-1.241,historical,True,183,183,156.000
1973,14.535,0.124,historical,True,183,183,77.000
1974,14.054,-0.358,historical,True,183,183,112.000
1975,14.502,0.091,historical,True,183,183,81.000
1976,14.873,0.462,historical,True,183,183,63.000
1977,13.379,-1.033,historical,True,183,183,148.000
1978,13.306,-1.106,historical,True,183,183,153.000
1979,13.912,-0.499,historical,True,183,183,122.000
1980,13.445,-0.967,historical,True,183,183,146.000
1981,14.585,0.173,historical,True,183,183,75.000
1982,15.116,0.704,historical,True,183,183,49.000
1983,15.499,1.088,historical,True,183,183,30.000
1984,13.814,-0.598,historical,True,183,183,129.000
1985,14.916,0.505,historical,True,183,183,62.000
1986,14.691,0.280,historical,True,183,183,70.000
1987,14.714,0.303,historical,True,183,183,68.000
1988,15.143,0.731,historical,True,183,183,47.000
1989,15.093,0.682,historical,True,183,183,51.000
1990,15.077,0.665,historical,True,183,183,53.000
1991,15.141,0.730,recent,True,183,183,48.000
1992,15.909,1.498,recent,True,183,183,19.000
1993,15.297,0.885,recent,True,183,183,40.000
1994,15.757,1.346,recent,True,183,183,26.000
1995,14.976,0.565,recent,True,183,183,58.000
1996,14.412,0.000,recent,True,183,183,84.000
1997,15.247,0.835,recent,True,183,183,43.000
1998,15.585,1.174,recent,True,183,183,28.000
1999,15.898,1.487,recent,True,183,183,20.000
2000,15.870,1.459,recent,True,183,183,22.000
2001,14.989,0.578,recent,True,183,183,57.000
2002,15.261,0.850,recent,True,183,183,41.000
2003,17.705,3.294,recent,True,183,183,2.000
2004,15.487,1.076,recent,True,183,183,32.000
2005,15.804,1.392,recent,True,183,183,24.000
2006,16.241,1.830,recent,True,183,183,14.000
2007,15.957,1.546,recent,True,183,183,17.000
2008,15.312,0.900,recent,True,183,183,39.000
2009,16.855,2.443,recent,True,183,183,8.000
2010,15.385,0.973,recent,True,183,183,36.000
2011,16.557,2.146,recent,True,183,183,11.000
2012,15.923,1.511,recent,True,183,183,18.000
2013,15.494,1.083,recent,True,183,183,31.000
2014,15.628,1.217,recent,True,183,183,27.000
2015,16.816,2.404,recent,True,183,183,9.000
2016,16.075,1.664,recent,True,183,183,15.000
2017,16.441,2.030,recent,True,183,183,12.000
2018,17.900,3.488,recent,True,183,183,1.000
2019,16.279,1.867,recent,True,183,183,13.000
2020,16.971,2.559,recent,True,183,183,7.000
2021,15.381,0.970,recent,True,183,183,37.000
2022,17.433,3.021,recent,True,183,183,3.000
2023,17.427,3.016,recent,True,183,183,4.000
2024,16.607,2.196,recent,True,183,183,10.000
2025,17.001,2.590,recent,True,183,183,6.000
2026,19.025,4.661,provisional,False,145,183,
