year,temperature_c,anomaly_c,period,complete,days_observed,days_expected,rank
1864,16.198,-0.912,historical,True,92,92,137.000
1865,17.267,0.157,historical,True,92,92,79.000
1866,16.808,-0.303,historical,True,92,92,105.000
1867,16.818,-0.292,historical,True,92,92,104.000
1868,17.888,0.778,historical,True,92,92,48.000
1869,16.563,-0.547,historical,True,92,92,121.000
1870,17.653,0.542,historical,True,92,92,61.000
1871,16.488,-0.623,historical,True,92,92,125.000
1872,16.880,-0.230,historical,True,92,92,100.000
1873,18.406,1.295,historical,True,92,92,31.000
1874,17.610,0.500,historical,True,92,92,63.000
1875,17.321,0.211,historical,True,92,92,78.000
1876,17.688,0.577,historical,True,92,92,60.000
1877,18.101,0.991,historical,True,92,92,39.000
1878,16.554,-0.557,historical,True,92,92,123.000
1879,16.645,-0.465,historical,True,92,92,117.000
1880,16.539,-0.571,historical,True,92,92,124.000
1881,17.951,0.840,historical,True,92,92,45.000
1882,15.422,-1.688,historical,True,92,92,160.000
1883,15.917,-1.194,historical,True,92,92,148.000
1884,16.486,-0.625,historical,True,92,92,126.000
1885,17.611,0.501,historical,True,92,92,62.000
1886,16.466,-0.644,historical,True,92,92,127.000
1887,17.866,0.756,historical,True,92,92,52.000
1888,15.670,-1.440,historical,True,92,92,155.000
1889,16.663,-0.447,historical,True,92,92,115.000
1890,15.775,-1.335,historical,True,92,92,153.000
1891,15.978,-1.132,historical,True,92,92,146.000
1892,17.185,0.074,historical,True,92,92,84.000
1893,17.604,0.494,historical,True,92,92,64.000
1894,16.598,-0.512,historical,True,92,92,119.000
1895,17.145,0.035,historical,True,92,92,87.000
1896,16.044,-1.066,historical,True,92,92,142.000
1897,17.699,0.588,historical,True,92,92,59.000
1898,16.629,-0.481,historical,True,92,92,118.000
1899,17.375,0.265,historical,True,92,92,76.000
1900,17.398,0.288,historical,True,92,92,74.000
1901,16.906,-0.205,historical,True,92,92,98.000
1902,16.450,-0.660,historical,True,92,92,128.000
1903,15.800,-1.310,historical,True,92,92,152.000
1904,18.470,1.360,historical,True,92,92,29.000
1905,17.999,0.888,historical,True,92,92,43.000
1906,17.180,0.070,historical,True,92,92,85.000
1907,16.193,-0.917,historical,True,92,92,138.000
1908,16.824,-0.286,historical,True,92,92,103.000
1909,15.314,-1.796,historical,True,92,92,162.000
1910,15.951,-1.159,historical,True,92,92,147.000
1911,18.872,1.762,historical,True,92,92,21.000
1912,15.456,-1.654,historical,True,92,92,158.000
1913,15.350,-1.760,historical,True,92,92,161.000
1914,15.739,-1.371,historical,True,92,92,154.000
1915,16.699,-0.411,historical,True,92,92,113.000
1916,15.482,-1.629,historical,True,92,92,157.000
1917,17.117,0.007,historical,True,92,92,88.000
1918,16.042,-1.068,historical,True,92,92,143.000
1919,16.646,-0.465,historical,True,92,92,116.000
1920,16.173,-0.938,historical,True,92,92,139.000
1921,17.992,0.882,historical,True,92,92,44.000
1922,16.324,-0.786,historical,True,92,92,132.000
1923,16.864,-0.246,historical,True,92,92,102.000
1924,15.668,-1.442,historical,True,92,92,156.000
1925,16.718,-0.392,historical,True,92,92,111.000
1926,15.901,-1.209,historical,True,92,92,149.000
1927,16.559,-0.552,historical,True,92,92,122.000
1928,18.627,1.517,historical,True,92,92,24.000
1929,17.526,0.415,historical,True,92,92,69.000
1930,17.220,0.110,historical,True,92,92,80.000
1931,16.702,-0.409,historical,True,92,92,112.000
1932,17.022,-0.088,historical,True,92,92,92.000
1933,17.013,-0.097,historical,True,92,92,93.000
1934,17.174,0.064,historical,True,92,92,86.000
1935,17.884,0.774,historical,True,92,92,49.000
1936,16.283,-0.827,historical,True,92,92,133.000
1937,17.583,0.472,historical,True,92,92,67.000
1938,16.975,-0.135,historical,True,92,92,95.000
1939,16.589,-0.521,historical,True,92,92,120.000
1940,15.879,-1.231,historical,True,92,92,150.000
1941,17.049,-0.061,historical,True,92,92,90.000
1942,17.210,0.100,historical,True,92,92,83.000
1943,17.535,0.424,historical,True,92,92,68.000
1944,17.855,0.745,historical,True,92,92,55.000
1945,18.298,1.188,historical,True,92,92,33.000
1946,16.994,-0.116,historical,True,92,92,94.000
1947,19.773,2.663,historical,True,92,92,10.000
1948,15.989,-1.121,historical,True,92,92,145.000
1949,18.431,1.321,historical,True,92,92,30.000
1950,19.104,1.993,historical,True,92,92,15.000
1951,16.922,-0.188,historical,True,92,92,97.000
1952,19.158,2.047,historical,True,92,92,14.000
1953,16.946,-0.164,historical,True,92,92,96.000
1954,16.155,-0.955,historical,True,92,92,140.000
1955,16.793,-0.317,historical,True,92,92,106.000
1956,15.424,-1.686,historical,True,92,92,159.000
1957,16.730,-0.380,historical,True,92,92,110.000
1958,17.028,-0.082,historical,True,92,92,91.000
