station_abbr;reference_timestamp;ths2dymn;ths2dymx;ths200m0;th9120mv;th91dnmv;th91dxmv;ths00nm0;pva2hsm0;ths25xm0;pv9120mv;ths00xm0;ths20nm0;thl200mx;phsstam0;thl200mn;ph9120mv;ths30xm0;xhs000m0;fhs010m0;fh9120mv;rhs001m0;ths35xm0;rhs150m0;rh9120mv;ghs000m0;gh9120mv;shs000m0;sh9120mv;xhs00om0;xhs012m0
BAS;01.01.1755 00:00;;;-5.4;-7.6;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.02.1755 00:00;;;-2.8;-6;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.03.1755 00:00;;;3.5;-3.5;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.04.1755 00:00;;;13.2;2.5;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.05.1755 00:00;;;10.4;-4.2;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.06.1755 00:00;;;18.4;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.07.1755 00:00;;;17.7;-2.5;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.08.1755 00:00;;;15.1;-4.6;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.09.1755 00:00;;;12.6;-2.8;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.10.1755 00:00;;;8;-3.1;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.11.1755 00:00;;;4.9;-1.1;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.12.1755 00:00;;;0.6;-2.3;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.01.1756 00:00;;;2.3;0.1;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.02.1756 00:00;;;1.6;-1.6;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.03.1756 00:00;;;4;-3;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.04.1756 00:00;;;6.9;-3.8;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.05.1756 00:00;;;11;-3.6;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.06.1756 00:00;;;18;-0.2;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.07.1756 00:00;;;17.7;-2.5;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.08.1756 00:00;;;16.3;-3.4;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.09.1756 00:00;;;14.4;-1;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.10.1756 00:00;;;8.2;-2.9;;;;;;;;;;;;;;;;;;;;;;;;;;
