station_abbr;reference_timestamp;ths2dymn;ths2dymx;ths200m0;th9120mv;th91dnmv;th91dxmv;ths00nm0;pva2hsm0;ths25xm0;pv9120mv;ths00xm0;ths20nm0;thl200mx;phsstam0;thl200mn;ph9120mv;ths30xm0;xhs000m0;fhs010m0;fh9120mv;rhs001m0;ths35xm0;rhs150m0;rh9120mv;ghs000m0;gh9120mv;shs000m0;sh9120mv;xhs00om0;xhs012m0
BER;01.01.1864 00:00;-11.3;-3.6;-7.6;-7.8;-8.4;-7;;;;;;;;;;;;;;;;;22.5;37;;;;;;
BER;01.02.1864 00:00;-5.7;4;-1.8;-2.9;-2.9;-1.2;;;;;;;;;;;;;;;;;26.5;48;;;;;;
BER;01.03.1864 00:00;-0.8;9.8;3.9;-1.3;-1.1;-0.5;;;;;;;;;;;;;;;;;57.1;88;;;;;;
BER;01.04.1864 00:00;0;12.5;6.6;-2.4;-3.4;-2;;;;;;;;;;;;;;;;;55.1;71;;;;;;
BER;01.05.1864 00:00;5.7;18;12.1;-1.1;-1.9;-0.6;;;;;;;;;;;;;;;;;68.5;61;;;;;;
BER;01.06.1864 00:00;8.3;19.5;13.7;-3.2;-3;-3;;;;;;;;;;;;;;;;;146;144;;;;;;
BER;01.07.1864 00:00;10.7;23.8;17.3;-1.5;-2.3;-0.8;;;;;;;;;;;;;;;;;43.4;40;;;;;;
BER;01.08.1864 00:00;8.1;22.7;15.2;-3.2;-4.8;-1.5;;;;;;;;;;;;;;;;;54.8;49;;;;;;
BER;01.09.1864 00:00;6.8;19.4;12.1;-2;-2.4;0;;;;;;;;;;;;;;;;;49.9;57;;;;;;
BER;01.10.1864 00:00;1.8;11.6;5.7;-3.8;-3.7;-2.4;;;;;;;;;;;;;;;;;27.2;31;;;;;;
BER;01.11.1864 00:00;0.1;6.1;2;-2.2;-0.9;-1.6;;;;;;;;;;;;;;;;;47.8;62;;;;;;
BER;01.12.1864 00:00;-7;-2.4;-4.7;-5.6;-4.9;-6.2;;;;;;;;;;;;;;;;;5.1;6;;;;;;
BER;01.01.1865 00:00;-3.6;3.4;-0.9;-1.1;-0.7;0;;;;;;;;;;;;;;;;;74.8;124;;;;;;
BER;01.02.1865 00:00;-5.6;1.1;-3;-4.1;-2.8;-4.1;;;;;;;;;;;;;;;;;49.8;90;;;;;;
BER;01.03.1865 00:00;-5;3.1;-1.9;-7.1;-5.3;-7.2;;;;;;;;;;;;;;;;;52.2;80;;;;;;
BER;01.04.1865 00:00;4.1;19.3;11.6;2.6;0.7;4.8;;;;;;;;;;;;;;;;;15.5;20;;;;;;
BER;01.05.1865 00:00;7.6;21.2;14.4;1.2;0;2.6;;;;;;;;;;;;;;;;;69.6;62;;;;;;
BER;01.06.1865 00:00;8;21.6;15.7;-1.2;-3.3;-0.9;;;;;;;;;;;;;;;;;18.5;18;;;;;;
BER;01.07.1865 00:00;11.2;25.2;18.6;-0.2;-1.8;0.6;;;;;;;;;;;;;;;;;78.6;73;;;;;;
