station_abbr;station_name;station_canton;station_wigos_id;station_type_de;station_type_fr;station_type_it;station_type_en;station_dataowner;station_data_since;station_height_masl;station_height_barometer_masl;station_coordinates_lv95_east;station_coordinates_lv95_north;station_coordinates_wgs84_lat;station_coordinates_wgs84_lon;station_exposition_de;station_exposition_fr;station_exposition_it;station_exposition_en;station_url_de;station_url_fr;station_url_it;station_url_en
ALT;Altdorf;UR;0-20000-0-06672;Klimastationen - Homogene Messreihen;Stations climatologiques - Séries de mesures homogènes;Stazioni climatologiche - Serie omogenee di misurazioni;Climate stations - Homogeneous data series;MeteoSchweiz;01.01.1864;438.0;440.0;2690181.0;1193564.0;46.887069;8.621894;Ebene;Plaine;Pianura;plain;https://www.meteoschweiz.admin.ch/service-und-publikationen/applikationen/messwerte-und-messnetze.html#param=messnetz-klima&station=ALT;https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-klima&station=ALT;https://www.meteosvizzera.admin.ch/servizi-e-pubblicazioni/applicazioni/valori-attuali-e-reti-di-misura.html#param=messnetz-klima&station=ALT;https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-klima&station=ALT
ANT;Andermatt;UR;0-20000-0-06695;Klimastationen - Homogene Messreihen;Stations climatologiques - Séries de mesures homogènes;Stazioni climatologiche - Serie omogenee di misurazioni;Climate stations - Homogeneous data series;MeteoSchweiz, SLF;01.01.1864;1435.0;1436.0;2687445.0;1165044.0;46.630914;8.580553;Muldenlage;Dépression;Depressione;basin;https://www.meteoschweiz.admin.ch/service-und-publikationen/applikationen/messwerte-und-messnetze.html#param=messnetz-klima&station=ANT;https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-klima&station=ANT;https://www.meteosvizzera.admin.ch/servizi-e-pubblicazioni/applicazioni/valori-attuali-e-reti-di-misura.html#param=messnetz-klima&station=ANT;https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-klima&station=ANT
BAS;Basel / Binningen;BL;0-20000-0-06601;Klimastationen - Homogene Messreihen;Stations climatologiques - Séries de mesures homogènes;Stazioni climatologiche - Serie omogenee di misurazioni;Climate stations - Homogeneous data series;MeteoSchweiz;01.01.1755;316.0;318.0;2610909.0;1265612.0;47.541142;7.583525;Anhöhe (30 - 100 m über Talsohle);Butte (30-100 m au-dessus du fond de vallée);Collina (30 - 100 m sopra il fondovalle);height (30-100 m above valley);https://www.meteoschweiz.admin.ch/service-und-publikationen/applikationen/messwerte-und-messnetze.html#param=messnetz-klima&station=BAS;https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-klima&station=BAS;https://www.meteosvizzera.admin.ch/servizi-e-pubblicazioni/applicazioni/valori-attuali-e-reti-di-misura.html#param=messnetz-klima&station=BAS;https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-klima&station=BAS
BER;Bern / Zollikofen;BE;0-20000-0-06631;Klimastationen - Homogene Messreihen;Stations climatologiques - Séries de mesures homogènes;Stazioni climatologiche - Serie omogenee di misurazioni;Climate stations - Homogeneous data series;MeteoSchweiz;01.01.1864;553.0;554.0;2601934.0;1204410.0;46.990744;7.464061;Ebene;Plaine;Pianura;plain;https://www.meteoschweiz.admin.ch/service-und-publikationen/applikationen/messwerte-und-messnetze.html#param=messnetz-klima&station=BER;https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-klima&station=BER;https://www.meteosvizzera.admin.ch/servizi-e-pubblicazioni/applicazioni/valori-attuali-e-reti-di-misura.html#param=messnetz-klima&station=BER;https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-klima&station=BER
CDF;La Chaux-de-Fonds;NE;0-20000-0-06612;Klimastationen - Homogene Messreihen;Stations climatologiques - Séries de mesures homogènes;Stazioni climatologiche - Serie omogenee di misurazioni;Climate stations - Homogeneous data series;MeteoSchweiz;01.01.1900;1017.0;1018.0;2550919.0;1214862.0;47.082947;6.792314;Muldenlage;Dépression;Depressione;basin;https://www.meteoschweiz.admin.ch/service-und-publikationen/applikationen/messwerte-und-messnetze.html#param=messnetz-klima&station=CDF;https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-klima&station=CDF;https://www.meteosvizzera.admin.ch/servizi-e-pubblicazioni/applicazioni/valori-attuali-e-reti-di-misura.html#param=messnetz-klima&station=CDF;https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-klima&station=CDF
CHD;Château-d'Oex;VD;0-20000-0-06627;Klimastationen - Homogene Messreihen;Stations climatologiques - Séries de mesures homogènes;Stazioni climatologiche - Serie omogenee di misurazioni;Climate stations - Homogeneous data series;MeteoSchweiz;01.01.1879;1028.0;1029.0;2577040.0;1147655.0;46.479819;7.139656;Südhang;Versant sud;Versante meridionale;southern oriented slope;https://www.meteoschweiz.admin.ch/service-und-publikationen/applikationen/messwerte-und-messnetze.html#param=messnetz-klima&station=CHD;https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-klima&station=CHD;https://www.meteosvizzera.admin.ch/servizi-e-pubblicazioni/applicazioni/valori-attuali-e-reti-di-misura.html#param=messnetz-klima&station=CHD;https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-klima&station=CHD
CHM;Chaumont;NE;0-20000-0-06608;Klimastationen - Homogene Messreihen;Stations climatologiques - Séries de mesures homogènes;Stazioni climatologiche - Serie omogenee di misurazioni;Climate stations - Homogeneous data series;MeteoSchweiz;01.01.1864;1136.0;1137.0;2565060.0;1211007.0;47.049169;6.978825;Anhöhe (30 - 100 m über Talsohle);Butte (30-100 m au-dessus du fond de vallée);Collina (30 - 100 m sopra il fondovalle);height (30-100 m above valley);https://www.meteoschweiz.admin.ch/service-und-publikationen/applikationen/messwerte-und-messnetze.html#param=messnetz-klima&station=CHM;https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-klima&station=CHM;https://www.meteosvizzera.admin.ch/servizi-e-pubblicazioni/applicazioni/valori-attuali-e-reti-di-misura.html#param=messnetz-klima&station=CHM;https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-klima&station=CHM
DAV;Davos;GR;0-20000-0-06784;Klimastationen - Homogene Messreihen;Stations climatologiques - Séries de mesures homogènes;Stazioni climatologiche - Serie omogenee di misurazioni;Climate stations - Homogeneous data series;MeteoSchweiz, SLF;01.01.1864;1594.0;1596.0;2783519.0;1187459.0;46.812969;9.843558;Südosthang;Versant sud-est;Versante sud-orientale;south-eastern oriented slope;https://www.meteoschweiz.admin.ch/service-und-publikationen/applikationen/messwerte-und-messnetze.html#param=messnetz-klima&station=DAV;https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-klima&station=DAV;https://www.meteosvizzera.admin.ch/servizi-e-pubblicazioni/applicazioni/valori-attuali-e-reti-di-misura.html#param=messnetz-klima&station=DAV;https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-klima&station=DAV
ELM;Elm;GL;0-20000-0-06682;Klimastationen - Homogene Messreihen;Stations climatologiques - Séries de mesures homogènes;Stazioni climatologiche - Serie omogenee di misurazioni;Climate stations - Homogeneous data series;MeteoSchweiz;01.02.1878;958.0;958.0;2732266.0;1198424.0;46.923742;9.175347;Ebene;Plaine;Pianura;plain;https://www.meteoschweiz.admin.ch/service-und-publikationen/applikationen/messwerte-und-messnetze.html#param=messnetz-klima&station=ELM;https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-klima&station=ELM;https://www.meteosvizzera.admin.ch/servizi-e-pubblicazioni/applicazioni/valori-attuali-e-reti-di-misura.html#param=messnetz-klima&station=ELM;https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-klima&station=ELM
ENG;Engelberg;OW;0-20000-0-06655;Klimastationen - Homogene Messreihen;Stations climatologiques - Séries de mesures homogènes;Stazioni climatologiche - Serie omogenee di misurazioni;Climate stations - Homogeneous data series;MeteoSchweiz, SLF;01.01.1864;1036.0;1037.0;2674162.0;1186069.0;46.821639;8.410514;Südwesthang;Versant sud-ouest;Versante sud-occidentale;south-western oriented slope;https://www.meteoschweiz.admin.ch/service-und-publikationen/applikationen/messwerte-und-messnetze.html#param=messnetz-klima&station=ENG;https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-klima&station=ENG;https://www.meteosvizzera.admin.ch/servizi-e-pubblicazioni/applicazioni/valori-attuali-e-reti-di-misura.html#param=messnetz-klima&station=ENG;https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-klima&station=ENG
GRC;Grächen;VS;0-20000-0-06728;Klimastationen - Homogene Messreihen;Stations climatologiques - Séries de mesures homogènes;Stazioni climatologiche - Serie omogenee di misurazioni;Climate stations - Homogeneous data series;MeteoSchweiz;01.12.1863;1605.0;1606.0;2630738.0;1116062.0;46.195314;7.836822;Westhang;Versant ouest;Versante occidentale;western oriented slope;https://www.meteoschweiz.admin.ch/service-und-publikationen/applikationen/messwerte-und-messnetze.html#param=messnetz-klima&station=GRC;https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-klima&station=GRC;https://www.meteosvizzera.admin.ch/servizi-e-pubblicazioni/applicazioni/valori-attuali-e-reti-di-misura.html#param=messnetz-klima&station=GRC;https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-klima&station=GRC
