station_abbr;reference_timestamp;ths2dymn;ths2dymx;ths200m0;th9120mv;th91dnmv;th91dxmv;ths00nm0;pva2hsm0;ths25xm0;pv9120mv;ths00xm0;ths20nm0;thl200mx;phsstam0;thl200mn;ph9120mv;ths30xm0;xhs000m0;fhs010m0;fh9120mv;rhs001m0;ths35xm0;rhs150m0;rh9120mv;ghs000m0;gh9120mv;shs000m0;sh9120mv;xhs00om0;xhs012m0
SMA;01.01.1864 00:00;;;-6.6;-7.5;;;;;;;;;;;;;;;;;;;25.7;41;;;;;;
SMA;01.02.1864 00:00;;;-1.5;-3.3;;;;;;;;;;;;;;;;;;;32.9;55;;;;;;
SMA;01.03.1864 00:00;;;4.5;-1.3;;;;;;;;;;;;;;;;;;;51;72;;;;;;
SMA;01.04.1864 00:00;;;6.8;-2.8;;;;;;;;;;;;;;;;;;;46.9;58;;;;;;
SMA;01.05.1864 00:00;;;12.3;-1.3;;;;;;;;;;;;;;;;;;;78.4;61;;;;;;
SMA;01.06.1864 00:00;;;14.7;-2.4;;;;;;;;;;;;;;;;;;;146.4;115;;;;;;
SMA;01.07.1864 00:00;;;16.9;-2.1;;;;;;;;;;;;;;;;;;;77.5;62;;;;;;
SMA;01.08.1864 00:00;;;15.3;-3.3;;;;;;;;;;;;;;;;;;;31.3;26;;;;;;
SMA;01.09.1864 00:00;;;12.9;-1.5;;;;;;;;;;;;;;;;;;;61.9;71;;;;;;
SMA;01.10.1864 00:00;;;6.7;-3.3;;;;;;;;;;;;;;;;;;;15.4;18;;;;;;
SMA;01.11.1864 00:00;;;2.5;-2.4;;;;;;;;;;;;;;;;;;;78.5;103;;;;;;
SMA;01.12.1864 00:00;;;-4.2;-5.9;;;;;;;;;;;;;;;;;;;4;5;;;;;;
SMA;01.01.1865 00:00;;;0;-0.9;;;;;;;;;;;;;;;;;;;63.7;101;;;;;;
SMA;01.02.1865 00:00;;;-2.9;-4.7;;;;;;;;;;;;;;;;;;;52.8;88;;;;;;
SMA;01.03.1865 00:00;;;-1.2;-7;;;;;;;;;;;;;;;;;;;51.9;73;;;;;;
SMA;01.04.1865 00:00;;;11.9;2.3;;;;;;;;;;;;;;;;;;;3.9;5;;;;;;
SMA;01.05.1865 00:00;;;15.2;1.6;;;;;;;;;;;;;;;;;;;59.8;47;;;;;;
SMA;01.06.1865 00:00;;;16;-1.1;;;;;;;;;;;;;;;;;;;43.3;34;;;;;;
SMA;01.07.1865 00:00;;;19;0;;;;;;;;;;;;;;;;;;;79.7;63;;;;;;
SMA;01.08.1865 00:00;;;15.8;-2.8;;;;;;;;;;;;;;;;;;;164.6;138;;;;;;
SMA;01.09.1865 00:00;;;15.4;1;;;;;;;;;;;;;;;;;;;0;0;;;;;;
SMA;01.10.1865 00:00;;;9.3;-0.7;;;;;;;;;;;;;;;;;;;68.5;80;;;;;;
SMA;01.11.1865 00:00;;;4.2;-0.7;;;;;;;;;;;;;;;;;;;62.9;83;;;;;;
SMA;01.12.1865 00:00;;;-1.9;-3.6;;;;;;;;;;;;;;;;;;;17.1;21;;;;;;
SMA;01.01.1866 00:00;;;1.7;0.8;;;;;;;;;;;;;;;;;;;81.3;129;;;;;;
SMA;01.02.1866 00:00;;;3.7;1.9;;;;;;;;;;;;;;;;;;;169.3;281;;;;;;
SMA;01.03.1866 00:00;;;3.7;-2.1;;;;;;;;;;;;;;;;;;;111.5;157;;;;;;
SMA;01.04.1866 00:00;;;9.1;-0.5;;;;;;;;;;;;;;;;;;;104.3;130;;;;;;
SMA;01.05.1866 00:00;;;9.7;-3.9;;;;;;;;;;;;;;;;;;;103.1;80;;;;;;
SMA;01.06.1866 00:00;;;17.5;0.4;;;;;;;;;;;;;;;;;;;34.8;27;;;;;;
SMA;01.07.1866 00:00;;;17.4;-1.6;;;;;;;;;;;;;;;;;;;55.4;44;;;;;;
SMA;01.08.1866 00:00;;;14.7;-3.9;;;;;;;;;;;;;;;;;;;200.2;168;;;;;;
SMA;01.09.1866 00:00;;;14.3;-0.1;;;;;;;;;;;;;;;;;;;81.4;93;;;;;;
SMA;01.10.1866 00:00;;;8;-2;;;;;;;;;;;;;;;;;;;26.6;31;;;;;;
SMA;01.11.1866 00:00;;;3.6;-1.3;;;;;;;;;;;;;;;;;;;108.2;142;;;;;;
SMA;01.12.1866 00:00;;;1.7;0;;;;;;;;;;;;;;;;;;;130.7;157;;;;;;
SMA;01.01.1867 00:00;;;-1.2;-2.1;;;;;;;;;;;;;;;;;;;134.4;213;;;;;;
SMA;01.02.1867 00:00;;;4.7;2.9;;;;;;;;;;;;;;;;;;;75.4;125;;;;;;
SMA;01.03.1867 00:00;;;3.7;-2.1;;;;;;;;;;;;;;;;;;;105.3;148;;;;;;
SMA;01.04.1867 00:00;;;8.2;-1.4;;;;;;;;;;;;;;;;;;;126.2;157;;;;;;
SMA;01.05.1867 00:00;;;12.8;-0.8;;;;;;;;;;;;;;;;;;;108.6;85;;;;;;
SMA;01.06.1867 00:00;;;15.7;-1.4;;;;;;;;;;;;;;;;;;;187.6;147;;;;;;
SMA;01.07.1867 00:00;;;16.3;-2.7;;;;;;;;;;;;;;;;;;;47;37;;;;;;
SMA;01.08.1867 00:00;;;17.6;-1;;;;;;;;;;;;;;;;;;;157.4;132;;;;;;
SMA;01.09.1867 00:00;;;14.2;-0.2;;;;;;;;;;;;;;;;;;;108.1;124;;;;;;
SMA;01.10.1867 00:00;;;6.7;-3.3;;;;;;;;;;;;;;;;;;;165.9;195;;;;;;
SMA;01.11.1867 00:00;;;0.9;-4;;;;;;;;;;;;;;;;;;;27.7;36;;;;;;
SMA;01.12.1867 00:00;;;-2.6;-4.3;;;;;;;;;;;;;;;;;;;58.3;70;;;;;;
